timestamp,open,high,low,close,volume
2015-11-06,46.0300,47.4800,45.5700,46.8200,6600269
2015-10-30,45.3700,46.5500,43.5500,46.0700,5484514
2015-10-23,44.4600,47.6200,44.0100,45.3500,7323542
2015-10-16,44.2800,44.6400,42.7300,44.4600,4094605
2015-10-09,41.6000,44.4600,41.5300,44.4100,7156598
2015-10-02,40.8400,41.6300,39.6600,41.5000,8976255
2015-09-25,42.7200,42.8300,40.4500,41.0000,6471556
2015-09-18,42.8400,44.4300,42.2300,42.2700,7835834
2015-09-11,41.9700,42.8900,40.7600,42.7800,6594493
2015-09-04,42.2700,42.7800,40.7100,41.2500,10964386
2015-08-28,41.8600,47.0000,38.6600,42.4900,22181390
2015-08-21,47.4400,47.7125,44.6400,44.8300,7991915
2015-08-14,45.8800,47.8250,44.6300,47.4400,7281353
2015-08-07,45.9800,46.6300,44.5100,45.1700,6310854
2015-07-31,45.4000,46.4700,44.7330,45.8500,5836932
2015-07-24,46.5000,47.6200,45.3300,45.4900,7214611
2015-07-17,47.2100,47.7600,46.1800,46.6700,9592616
2015-07-10,43.1200,47.3400,42.9675,46.9600,10563865
2015-07-02,43.7300,44.5000,42.7600,43.5600,5168653
2015-06-26,43.2500,45.5000,43.0100,44.0400,10240050
2015-06-19,42.8700,43.8200,41.9700,43.0900,9768013
2015-06-12,44.0200,44.2800,42.6900,42.9600,7689062
2015-06-05,43.7400,44.4560,42.4100,44.1400,10951788
2015-05-29,40.6900,44.4900,39.4000,43.4100,15577932
2015-05-22,40.1000,40.9750,39.6800,40.8000,5595925
2015-05-15,40.0900,40.4900,38.5200,40.0600,6056631
2015-05-08,39.3100,40.5000,38.4700,40.1900,6187907
2015-05-01,40.7300,41.0100,38.4200,39.1700,5149508
2015-04-24,39.7900,40.7700,39.6000,40.7100,5401002
2015-04-17,40.4000,41.3000,39.4600,39.6600,8659376
2015-04-10,38.0000,40.4100,37.6800,40.4000,7646964
2015-04-02,38.4000,38.8100,37.2200,38.2000,8742170
2015-03-27,41.0700,41.7300,37.1400,38.3600,16738521
2015-03-20,40.7300,41.3500,40.1600,40.9200,6352859
2015-03-13,40.1200,42.6700,39.0600,40.7000,7864470
2015-03-06,38.3900,40.5778,37.8000,40.1600,8069426
2015-02-27,37.9400,37.9861,36.6850,36.9700,5523096
2015-02-20,37.3500,38.2100,36.6000,37.4900,4476023
2015-02-13,36.5400,38.1900,36.5200,37.3500,8367004
2015-02-06,35.1100,37.9250,34.5200,36.7600,8771446
2015-01-30,37.3900,39.3000,35.0600,35.2500,13611387
2015-01-23,36.3300,37.5000,35.2100,37.4000,11459909
2015-01-16,32.5500,37.3500,31.6900,36.3500,23379979
2015-01-09,33.5200,36.0300,32.0900,32.2700,20974292
2015-01-02,33.5300,34.4100,32.9000,33.8000,7761831
2014-12-26,36.4800,36.6000,33.1900,33.6500,15619212
2014-12-19,32.6100,34.5000,31.8100,34.5000,20503097
2014-12-12,37.1000,37.1000,32.2600,32.3000,25920187
2014-12-05,37.6200,37.6700,35.1500,37.4200,20955660
2014-11-28,37.7300,38.2700,36.8800,37.8100,17530900
2014-11-21,44.3600,44.7000,37.1100,37.8600,32514263
2014-11-14,43.6800,44.7000,42.3600,44.4000,13759510
2014-11-07,42.7600,44.8400,42.1200,43.6900,9909750
2014-10-31,42.0000,43.8900,39.3100,42.7600,12195154
2014-10-24,39.7000,42.3900,39.5200,42.0300,10444870
2014-10-17,38.1300,40.3600,35.8200,39.8600,17122976
2014-10-10,40.5000,40.5900,38.1000,38.3100,13138931
2014-10-03,41.7400,42.3700,39.6100,40.4600,10131119
2014-09-26,43.3300,43.6800,41.6700,42.0400,8409979
2014-09-19,43.5800,45.4500,43.1900,43.3800,10526500
2014-09-12,45.1000,45.4065,42.7500,43.6100,10494500
2014-09-05,42.2900,45.2500,42.2300,45.2400,9788600
2014-08-29,43.5800,43.5800,41.8800,42.2000,10587100
2014-08-22,40.0600,44.5000,39.9500,42.9000,20596500
2014-08-15,40.9900,41.9000,39.4000,39.6400,11061600
2014-08-08,41.3500,42.1150,40.2700,40.7000,9047000
2014-08-01,45.8600,46.5900,41.0600,41.2200,24331800
2014-07-25,42.5700,46.2000,42.3961,45.6800,15263900
2014-07-18,41.8400,43.3700,40.8700,42.8300,10858600
2014-07-11,41.5500,42.8600,40.7600,41.2400,10503500
2014-07-03,40.4300,41.8200,40.2800,41.7600,5994200
2014-06-27,40.0900,40.9900,39.7130,40.3500,10429000
2014-06-20,36.8500,40.4200,36.7928,40.1100,14983800
2014-06-13,37.3000,39.0700,36.0800,36.9900,11878500
2014-06-06,37.6800,37.8600,35.8900,37.2800,10491400
2014-05-30,38.7000,39.0500,36.7800,37.8500,10754400
2014-05-23,37.1000,39.5300,34.7700,38.4300,19850800
2014-05-16,36.5900,38.0000,35.1000,36.2200,11057200
2014-05-09,39.3700,39.4800,35.6700,36.5600,15571900
2014-05-02,39.6100,40.4900,39.0700,39.9200,9818200
2014-04-25,41.4200,42.8200,38.9700,39.3700,12312900
2014-04-17,40.8600,42.0199,40.1300,41.4700,11363400
2014-04-11,42.6800,44.1000,40.2500,40.5200,20529900
2014-04-04,40.7200,45.4800,40.2300,42.8400,25082000
2014-03-28,37.9900,40.6500,35.2700,40.6200,29977600
2014-03-21,39.0200,39.8500,37.2800,37.8200,18594900
2014-03-14,38.5200,39.1500,36.7600,38.9800,14167500
2014-03-07,37.0500,39.3400,36.8300,38.5200,12184200
2014-02-28,35.6000,39.0000,35.4000,37.3100,18279200
2014-02-21,35.8200,36.4600,35.2501,35.5600,11201300
2014-02-14,35.5000,36.7800,35.0200,35.6100,21028800
2014-02-07,34.9700,35.7660,33.1000,35.5000,22730800
2014-01-31,36.6000,37.5800,34.7000,35.0700,21673900
2014-01-24,38.5200,39.5100,36.3800,36.5200,20404500
2014-01-17,45.4700,45.8400,36.0000,37.6500,51300500
2014-01-10,49.2400,49.3000,43.6000,45.5200,31619400
2014-01-03,48.9900,50.0000,48.1100,49.2400,7870300
2013-12-27,49.3400,51.5500,48.9100,49.0400,6620800
2013-12-20,47.3800,50.4900,47.3800,49.2500,15137700
2013-12-13,45.0900,47.8000,45.0000,47.2900,18550500
2013-12-06,48.5000,48.5900,44.8700,45.0800,25444100
2013-11-29,50.7100,50.7200,47.6800,48.2500,15907700
2013-11-22,57.0900,57.1900,46.6600,49.8600,29728600
2013-11-15,55.1900,57.7400,54.0400,56.5300,10195000
2013-11-08,55.4500,57.2100,53.6400,55.4800,9854800
2013-11-01,54.8800,56.0000,52.7100,55.0500,8647900
2013-10-25,54.2800,55.3700,53.3700,54.8800,7000700
2013-10-18,51.0900,54.0000,50.8101,53.8800,8345000
2013-10-11,50.2200,52.8300,48.5100,51.5600,9247600
2013-10-04,49.2500,51.2200,47.7300,50.7000,8814800
2013-09-27,49.5000,51.7000,48.6500,49.6500,8234200
2013-09-20,52.8800,53.2850,49.1600,49.4300,11169800
2013-09-13,50.0600,52.5400,48.9400,52.4500,8305600
2013-09-06,50.7700,51.5340,49.3900,49.6100,6593200
